2026-06-08 20:53:43,LA020749,0.862
2026-06-08 20:58:54,WR193JF,0.82
2026-06-08 20:58:55,R133JF,0.834
2026-06-08 20:58:55,AR133JF,0.822
2026-06-08 20:58:55,MR133JF,0.85
2026-06-08 20:58:56,R183JF,0.763
2026-06-08 20:58:57,RWB3JF,0.785
2026-06-08 20:58:57,R1WB3JF,0.827
2026-06-08 20:58:59,R7183JF,0.789
2026-06-08 20:59:03,YR183JF,0.754
2026-06-08 20:59:04,1R183JF,0.808
2026-06-08 20:59:05,4R183JF,0.767
2026-06-08 20:59:07,R1BSF,0.74
2026-06-08 20:59:07,NSSF,0.718
2026-06-08 20:59:08,RSI1,0.771
2026-06-08 20:59:13,NESE,0.831
2026-06-08 20:59:13,PNES4,0.823
2026-06-08 20:59:13,ONBS,0.857
2026-06-08 20:59:14,ONES,0.823
2026-06-08 20:59:14,N8S6,0.823
2026-06-08 20:59:15,ONB948,0.846
2026-06-08 20:59:15,ON6O4,0.842
2026-06-08 20:59:15,PNE9E,0.792
2026-06-08 20:59:16,PN8947S0,0.829
2026-06-08 20:59:16,N89471V,0.845
2026-06-08 20:59:17,P894J,0.83
2026-06-08 20:59:17,P894JV,0.873
2026-06-08 20:59:17,N894J3V,0.79
2026-06-08 20:59:17,N894JV,0.8
2026-06-08 20:59:18,N78947JV,0.82
2026-06-08 20:59:18,MN894V,0.826
2026-06-08 20:59:19,PPN894JV,0.803
2026-06-08 20:59:19,N8941V,0.786
2026-06-08 20:59:19,PN894JV,0.88
2026-06-08 20:59:20,N8947JV,0.934
2026-06-08 20:59:20,NB94JV,0.831
2026-06-08 20:59:21,7N894JV,0.947
2026-06-08 20:59:22,WL656XH,0.867
2026-06-08 20:59:22,IL656XH,0.861
2026-06-08 20:59:22,W656XH,0.85
2026-06-08 20:59:23,L7656XA,0.82
2026-06-08 20:59:23,L656XH,0.869
2026-06-08 20:59:25,ML656XH,0.79
2026-06-08 20:59:26,AL656X0,0.789
2026-06-08 20:59:27,RL656XH,0.834
2026-06-08 20:59:28,5L656XH,0.832
2026-06-08 20:59:29,656KH,0.829
2026-06-08 20:59:30,W1656XH,0.81
2026-06-08 20:59:30,3L656XH,0.784
2026-06-08 20:59:31,NL656XH,0.826
2026-06-08 20:59:33,QL656XH,0.746
2026-06-08 20:59:33,656XH,0.798
2026-06-08 20:59:34,A656KH,0.804
2026-06-08 20:59:35,7696XH,0.784
2026-06-08 20:59:37,ALL656H,0.835
2026-06-08 20:59:37,B0OXH,0.751
2026-06-08 20:59:37,NL6560H,0.772
2026-06-08 20:59:38,L65GXH,0.748
2026-06-08 20:59:40,1656KH,0.735
2026-06-08 20:59:41,L656KH,0.946
2026-06-08 20:59:42,ACG56XH,0.779
2026-06-08 20:59:42,AL656XH,0.772
2026-06-08 20:59:43,AL656KH,0.788
2026-06-08 20:59:44,1L656XR,0.575
2026-06-08 20:59:56,LH644LX,0.478
2026-06-08 20:59:58,H644LX,0.771
2026-06-08 20:59:59,7H644LX,0.756
2026-06-08 21:00:03,7H64LX,0.635
2026-06-08 21:00:04,44LX,0.761
2026-06-08 21:00:04,1H644LX,0.706
2026-06-08 21:00:06,KS343,0.821
2026-06-08 21:00:06,RSS84K8,0.855
2026-06-08 21:00:06,ASS485,0.882
2026-06-08 21:00:07,KS84RS,0.853
2026-06-08 21:00:07,K884RS,0.842
2026-06-08 21:00:07,KSS4RS,0.812
2026-06-08 21:00:08,WK884RS,0.854
2026-06-08 21:00:08,AK884RS,0.88
2026-06-08 21:00:10,AK884R5,0.826
2026-06-08 21:00:10,WC84RS,0.816
2026-06-08 21:00:11,K884R5,0.784
2026-06-08 21:00:12,884R5,0.742
2026-06-08 21:00:13,SK884RS,0.822
2026-06-08 21:00:14,5K884RS,0.842
2026-06-08 21:00:14,NK884RS,0.915
2026-06-08 21:00:23,HHO7,0.822
2026-06-08 21:00:24,HH07,0.849
2026-06-08 21:00:25,66HHO7,0.827
2026-06-08 21:00:25,166HH07,0.813
2026-06-08 21:00:25,66HH07,0.688
2026-06-08 21:00:39,L605HZ,0.768
2026-06-08 21:00:40,BL60SHZ,0.802
2026-06-08 21:00:40,TL605HZ,0.787
2026-06-08 21:00:41,SL605HZ,0.823
2026-06-08 21:00:41,L605H7,0.796
2026-06-08 21:00:50,L405F2,0.801
2026-06-08 21:00:51,L603F2,0.792
2026-06-08 21:00:51,L605F2,0.788
2026-06-08 21:00:53,L605F2Z,0.843
2026-06-08 21:00:54,L605K2,0.8
2026-06-08 21:00:55,L605H2Z,0.797
2026-06-08 21:00:56,L605K2Z,0.674
2026-06-08 21:00:57,L605HKZ,0.863
2026-06-08 21:00:57,L605KZ,0.785
2026-06-08 21:00:59,L7605KZ,0.796
2026-06-08 21:01:03,L605H2,0.796
2026-06-08 21:01:04,L7605HZ,0.792
2026-06-08 21:01:05,7L605HZ,0.772
2026-06-08 21:01:08,3L605HZ,0.804
2026-06-08 21:01:08,4L605HZ,0.799
2026-06-08 21:01:13,AL605HZ,0.776
2026-06-08 21:01:13,BL605HZ,0.783
2026-06-08 21:01:14,ML605HZ,0.849
2026-06-08 21:01:17,VL605HZ,0.88
2026-06-08 21:01:18,1L605HZ,0.909
2026-06-08 21:12:13,R193JF,0.82
2026-06-08 21:12:13,R183JF,0.834
2026-06-08 21:12:15,RVB3JF,0.785
2026-06-08 21:12:21,R183J,0.754
2026-06-08 21:12:21,ZR183JF,0.581
2026-06-08 21:12:22,SR183JF,0.809
2026-06-08 21:12:22,4R183JFO,0.821
2026-06-08 21:12:23,4R183JF,0.767
2026-06-08 21:12:23,RR18JF,0.768
2026-06-08 21:12:26,R133JF,0.718
2026-06-08 21:12:26,R181,0.786
2026-06-08 21:12:27,PORTETI,0.818
2026-06-08 21:12:27,PORGTIE,0.941
2026-06-08 21:12:31,NSS4,0.816
2026-06-08 21:12:32,PNSS4,0.823
2026-06-08 21:12:33,N89S6,0.842
2026-06-08 21:12:34,PN894J4,0.775
2026-06-08 21:12:35,394894J4,0.845
2026-06-08 21:12:35,PFN89401,0.83
2026-06-08 21:12:35,PPN28941V,0.786
2026-06-08 21:12:36,PPN394JV,0.82
2026-06-08 21:12:37,PN894JV,0.812
2026-06-08 21:12:39,PN894V,0.934
2026-06-08 21:12:39,PNE94JV,0.831
2026-06-08 21:12:39,PN6O4V,0.917
2026-06-08 21:12:39,PNET,0.918
2026-06-08 21:12:40,PNSORIV,0.849
2026-06-08 21:12:40,SUIZET,0.883
2026-06-08 21:12:40,PN94JV,0.947
2026-06-08 21:12:44,W656XH,0.789
2026-06-08 21:12:44,RC656KH,0.844
2026-06-08 21:12:45,L656XH,0.816
2026-06-08 21:12:45,WL56KH,0.836
2026-06-08 21:12:45,656XH,0.834
2026-06-08 21:12:46,A656H,0.841
2026-06-08 21:12:51,A656KH,0.823
2026-06-08 21:12:55,HL656XH,0.815
2026-06-08 21:12:56,ML656XH,0.833
2026-06-08 21:12:56,RL656XH,0.869
2026-06-08 21:12:59,656KH,0.946
2026-06-08 21:12:59,6L656XH,0.74
2026-06-08 21:13:03,AL656XH,0.871
2026-06-08 21:13:10,644LY,0.75
2026-06-08 21:13:11,EHO44LK,0.764
2026-06-08 21:13:12,H644LX,0.808
2026-06-08 21:13:14,BH644LX,0.726
2026-06-08 21:13:14,WH644LX,0.771
2026-06-08 21:13:15,SH644LX,0.756
2026-06-08 21:13:18,2H644L,0.59
2026-06-08 21:13:19,H644,0.771
2026-06-08 21:13:19,WH644LY,0.761
2026-06-08 21:13:23,FC4RS,0.839
2026-06-08 21:13:24,K884RS,0.832
2026-06-08 21:13:25,WK884RS,0.828
2026-06-08 21:13:26,AK884RS,0.806
2026-06-08 21:13:26,CB84RS,0.816
2026-06-08 21:13:26,884RS,0.819
2026-06-08 21:13:28,NK864RS,0.908
2026-06-08 21:13:29,W8R5,0.822
2026-06-08 21:13:29,T88RS,0.842
2026-06-08 21:13:30,LEEDS,0.903
2026-06-08 21:13:33,66HH07,0.817
2026-06-08 21:13:34,6HH07,0.805
2026-06-08 21:13:35,66HH,0.835
2026-06-08 21:13:40,66HHO7,0.834
2026-06-08 21:13:41,GOHHO7,0.827
2026-06-08 21:13:41,166HH07,0.813
2026-06-08 21:13:42,66HH0,0.834
2026-06-08 21:13:43,6HO7,0.864
2026-06-08 21:13:44,1667H,0.842
2026-06-08 21:13:45,HH07,0.83
2026-06-08 21:13:47,6HHO,0.819
2026-06-08 21:13:54,6HHQ7,0.833
2026-06-08 21:13:55,L66HH07,0.813
2026-06-08 21:13:56,NH07,0.822
2026-06-08 21:13:56,FL605HZ,0.768
2026-06-08 21:13:56,L60S5HZ,0.775
2026-06-08 21:13:57,L605HZ,0.772
2026-06-08 21:13:57,L605H7,0.801
2026-06-08 21:13:58,FKOSH,0.804
2026-06-08 21:14:06,L405E2,0.787
2026-06-08 21:14:07,L60542,0.801
2026-06-08 21:14:08,L605KZ,0.792
2026-06-08 21:14:08,LE0SEZ,0.7
2026-06-08 21:14:08,L605FZ,0.788
2026-06-08 21:14:09,FL605EZ,0.758
2026-06-08 21:14:09,L605F2,0.785
2026-06-08 21:14:09,FL605KZ,0.698
2026-06-08 21:14:10,L605E2,0.8
2026-06-08 21:14:11,L605H2,0.8
2026-06-08 21:14:12,PL6035H2Z,0.797
2026-06-08 21:14:13,L7605HZ,0.782
2026-06-08 21:14:15,L7605KZ,0.814
2026-06-08 21:14:16,L7605HKZ,0.804
2026-06-08 21:14:20,L605H,0.78
2026-06-08 21:14:22,4L605HZ,0.796
2026-06-08 21:14:23,41605HZ,0.799
2026-06-08 21:14:23,ML605HZ,0.822
2026-06-08 21:14:26,BL605HZ,0.508
2026-06-08 21:14:27,AL605HZ,0.696
2026-06-08 21:14:27,5L605HZ,0.776
2026-06-08 21:14:30,PCOSH,0.478
2026-06-08 21:14:31,A1605H7Z,0.91
2026-06-08 21:14:31,HL605HZ,0.799
2026-06-08 21:14:32,1L605HZ,0.854
2026-06-08 21:14:33,605HZ,0.696
2026-06-08 21:14:35,W157T5,0.756
